caso,w0,mu,eps,kappa
gap,0.0,3.0,2,0.0008559435989035497
gap,0.0,3.0,4,0.00016871124063368506
gap,0.0,3.0,6,3.3330184023547954e-05
gap,0.0,3.0,8,6.587617279204053e-06
gap,0.0,3.0,10,1.3021409505341308e-06
gap,0.0,3.0,12,2.573921820195335e-07
gap,0.0,3.0,14,5.087849245036247e-08
gap,0.0,3.0,16,1.0057115014047713e-08
gap,0.0,3.0,18,1.9879830242923446e-09
gap,0.0,3.0,20,3.9296326219059874e-10
gap,0.0,3.0,22,7.767691091037365e-11
gap,0.0,3.0,24,1.535430897009471e-11
gap,0.0,3.0,26,3.035110357485493e-12
gap,0.0,3.0,28,5.999124808031553e-13
gap,0.0,3.0,30,1.1866896354462142e-13
gap,0.5,3.0,2,0.0007143082255752636
gap,0.5,3.0,4,0.00017460440981351133
gap,0.5,3.0,6,4.346568483082347e-05
gap,0.5,3.0,8,1.0871640275356143e-05
gap,0.5,3.0,10,2.72259244035733e-06
gap,0.5,3.0,12,6.820426605713692e-07
gap,0.5,3.0,14,1.7087458176190395e-07
gap,0.5,3.0,16,4.2810772815649045e-08
gap,0.5,3.0,18,1.0725837079617051e-08
gap,0.5,3.0,20,2.6872618991147235e-09
gap,0.5,3.0,22,6.73269495710116e-10
gap,0.5,3.0,24,1.6868173524642316e-10
gap,0.5,3.0,26,4.226174965538121e-11
gap,0.5,3.0,28,1.0588363519303812e-11
gap,0.5,3.0,30,2.6528224061905803e-12
gap,0.9,3.0,2,0.0007541430458634646
gap,0.9,3.0,4,0.00031755119791321285
gap,0.9,3.0,6,0.0001495350626602998
gap,0.9,3.0,8,7.42362875413849e-05
gap,0.9,3.0,10,3.785135059442002e-05
gap,0.9,3.0,12,1.957078498454612e-05
gap,0.9,3.0,14,1.0194444113209578e-05
gap,0.9,3.0,16,5.331570055111534e-06
gap,0.9,3.0,18,2.794377881698562e-06
gap,0.9,3.0,20,1.466302454400381e-06
gap,0.9,3.0,22,7.699059227650462e-07
gap,0.9,3.0,24,4.043907766426713e-07
gap,0.9,3.0,26,2.1244467335312933e-07
gap,0.9,3.0,28,1.1161802682124744e-07
gap,0.9,3.0,30,5.864710694858388e-08
gap_inband,2.0,3.0,2,0.00817666801041772
gap_inband,2.0,3.0,4,0.0007785400278983445
gap_inband,2.0,3.0,6,0.003026517121315242
gap_inband,2.0,3.0,8,0.000939714897389532
gap_inband,2.0,3.0,10,0.0016431236666454296
gap_inband,2.0,3.0,12,0.0012572109563995237
gap_inband,2.0,3.0,14,0.0010995974548635434
gap_inband,2.0,3.0,16,0.0018982744887953151
gap_inband,2.0,3.0,18,0.0008455400498437737
gap_inband,2.0,3.0,20,0.003296473487580831
gap_inband,2.0,3.0,22,0.0007226401278462302
gap_inband,2.0,3.0,24,0.0064385859699205295
gap_inband,2.0,3.0,26,0.0006749425870982012
gap_inband,2.0,3.0,28,0.008655403541753537
gap_inband,2.0,3.0,30,0.0006833970338839812
critico,0.5,2.0,2,0.0038656797129385523
critico,0.5,2.0,4,0.012234007787091328
critico,0.5,2.0,6,0.0200584847496752
critico,0.5,2.0,8,0.004760457530637752
critico,0.5,2.0,10,0.0026017965556534295
critico,0.5,2.0,12,0.002462267220635722
critico,0.5,2.0,14,0.0037287324773706
critico,0.5,2.0,16,0.008433174624460194
critico,0.5,2.0,18,0.007606112931999753
critico,0.5,2.0,20,0.00336570271587322
critico,0.5,2.0,22,0.002305695126592393
critico,0.5,2.0,24,0.0023849581423324717
critico,0.5,2.0,26,0.003554791963884814
critico,0.5,2.0,28,0.006530473803327767
critico,0.5,2.0,30,0.004699376091759466
