h,eps,kint_gamma0.8_deslizante,kint_gamma0_N10,delta,"kfix_gamma[3,5]",kfix_gamma0,kint_gamma0_N12_h1.5
1.5,1,1.019391697583373,0.049088887740932674,0.9703028098424403,0.2408046545547693,-0.07444140095101376,0.049089821094860875
1.0,1,1.5909559490098,0.4464362175012202,1.1445197315085798,0.30187724963213247,-0.21790415523739648,
1.5,2,0.7821099139455943,0.06266595529341468,0.7194439586521796,0.6129927216793711,-0.07444140095101376,0.06267916422660191
1.0,2,0.7418668585239828,0.026293685189599625,0.7155731733343832,0.6061896960169957,-0.21790415523739648,
1.5,3,0.5941043945078455,0.05559278643116816,0.5385116080766773,0.8270587614272629,-0.07444140095101376,0.055954452079014616
1.0,3,0.46075128179674474,0.015804984912664244,0.4449462968840805,0.8739117582954787,-0.21790415523739648,
1.5,4,0.4072135198150778,-0.001321998449566486,0.4085355182646443,0.9149157761109376,-0.07444140095101376,0.0023347935163184896
1.0,4,0.2592011699322405,0.0024975287069139984,0.2567036412253265,0.8436682414992238,-0.21790415523739648,
1.5,5,0.30198312508450065,-0.011463540193019206,0.31344666527751985,0.7888874421104999,-0.07444140095101376,0.0005705394500821193
1.0,5,0.1335514789204315,0.0005783168489241763,0.13297316207150733,0.5643113767444792,-0.21790415523739648,
1.5,6,0.22845923367770404,-0.004418316210613615,0.23287754988831766,0.5605129096773166,-0.07444140095101376,-0.0010527412220397991
1.0,6,0.040992180872507555,-0.02457800815814204,0.0655701890306496,0.3392637951898041,-0.21790415523739648,
