h,beta,w,T_petz,T_rotated
1.05,0.3,1,0.0019390900032022324,0.00033374595262820064
1.05,0.3,2,9.692056602379914e-06,3.879948341347599e-06
1.05,0.3,3,1.8662546055389328e-08,3.979393292637201e-08
1.05,0.3,4,5.5102286827156815e-11,3.714199773278011e-10
1.05,0.3,5,2.634715398438351e-13,3.1877130042439088e-12
1.05,0.3,6,4.107317256242994e-15,2.6071410337669492e-14
1.05,0.6,1,0.009619084829183638,0.005763378682207266
1.05,0.6,2,0.00020653088444018465,0.00017793255005795882
1.05,0.6,3,1.7966896842785664e-06,5.649976657074815e-06
1.05,0.6,4,3.5580436720084346e-08,2.273469824414309e-07
1.05,0.6,5,1.1958089727937971e-09,9.26807473744706e-09
1.05,0.6,6,4.0971057642325396e-11,3.469546381896729e-10
1.1,0.3,1,0.002021652294783993,0.00036307888630516394
1.1,0.3,2,1.0577966116843606e-05,4.37358602888654e-06
1.1,0.3,3,2.1492401102783643e-08,4.6419948146039854e-08
1.1,0.3,4,6.462346022733418e-11,4.4767429266856577e-10
1.1,0.3,5,3.252577403084381e-13,3.976651086012357e-12
1.1,0.3,6,4.6107314440246575e-15,3.384220142163578e-14
1.1,0.6,1,0.009973266543507824,0.006139972396682702
1.1,0.6,2,0.00022241097293815109,0.00019265174938972373
1.1,0.6,3,2.0918241843005574e-06,6.387417295446465e-06
1.1,0.6,4,4.1870277594092335e-08,2.723571015286537e-07
1.1,0.6,5,1.4847199937448927e-09,1.1495140937279531e-08
1.1,0.6,6,5.297935790173819e-11,4.443077165580507e-10
1.2,0.3,1,0.002182936648537626,0.00042459775505968164
1.2,0.3,2,1.2440476497737163e-05,5.4534015418363965e-06
1.2,0.3,3,2.797345646205181e-08,6.152060238994938e-08
1.2,0.3,4,8.632621046959541e-11,6.285284484812988e-10
1.2,0.3,5,4.852865933020545e-13,5.9443430293535726e-12
1.2,0.3,6,6.5756229861953834e-15,5.540601651313396e-14
1.2,0.6,1,0.010641405955469058,0.006871578628459022
1.2,0.6,2,0.00025471311716082466,0.0002207928061176134
1.2,0.6,3,2.7647705977820805e-06,7.991637979615953e-06
1.2,0.6,4,5.717107195096446e-08,3.7738357160754014e-07
1.2,0.6,5,2.244424579799247e-09,1.6889252551503126e-08
1.2,0.6,6,8.677798824952583e-11,6.945740412556111e-10
1.5,0.3,1,0.0026336675199501343,0.0006287223874608942
1.5,0.3,2,1.8661883176257614e-05,9.358330061705371e-06
1.5,0.3,3,5.4694915183424274e-08,1.2064828850772425e-07
1.5,0.3,4,1.7226313003299173e-10,1.3947416602841302e-09
1.5,0.3,5,1.4613176666806859e-12,1.5607085999066103e-11
1.5,0.3,6,2.2727303730568336e-14,2.1476596936128645e-13
1.5,0.6,1,0.012307316379629804,0.008812113877375044
1.5,0.6,2,0.00035589709955025897,0.00028993151521233476
1.5,0.6,3,5.4463553628921e-06,1.4167758071808826e-05
1.5,0.6,4,1.406676673333844e-07,8.35997964545997e-07
1.5,0.6,5,6.942461145423251e-09,4.3436128834168966e-08
1.5,0.6,6,3.346212292069974e-10,2.2594995793757484e-09
